id,name,customUrl,total_subs,total_video,total_views,total_likes,total_comment,avg_views,avg_likes,avg_comment
UCajbFh6e_R8QZdHAMbbi4rQ,Crimzon Ruze Ch. HOLOSTARS-EN,@crimzonruze,94400,486,6518155,654964,17670,13411.841563786009,1347.6625514403293,36.358024691358025
UCckdfYDGrjojJM28n5SHYrA,Vox Akuma【NIJISANJI EN】,@voxakuma,1330000,672,108732431,6441615,112881,161804.21279761905,9585.736607142857,167.97767857142858
UChKXd7oqD18qiIYBoRIHTlw,Meloco Kyoran【NIJISANJI EN】,@melocokyoran,643000,647,89886985,3954732,31963,138928.87944358579,6112.414219474497,49.40185471406492
UC4pEixMozb6UnOtwg5Uew-Q,Cecilia Lieberia Ch.『 Re:Memories 』,@cecilialieberia,87300,688,3683136,418092,15355,5353.395348837209,607.6918604651163,22.31831395348837
UCFTLzh12_nrtzqBPsTCqenA,アキロゼCh。Vtuber/ホロライブ所属,@akirosenthal,1010000,1604,152812949,10748124,99633,95269.91832917706,6700.825436408977,62.11533665835412
UCAoy6rzhSf4ydcYjJw3WoVg,Airani Iofifteen Channel hololive-ID,@airaniiofifteen,809000,1423,49074712,6412138,87286,34486.79690794097,4506.0702740688685,61.33942375263528
UCpZIbzoEC_3rZglErpQkbDg,Rin Penrose Ch. and Snebby,@rinpenrose,875000,721,159553408,19115532,175805,221294.60194174756,26512.527045769762,243.83495145631068
UCXSbl3XQYtx1u4Gvvca7NUA,Lily Ifeta Ch.『 Re:Memories 』,@lilyifeta,85900,738,2656841,295000,9853,3600.0555555555557,399.7289972899729,13.350948509485095
UC8Snw5i4eOJXEQqURAK17hQ,Rai Galilei【NIJISANJI / にじさんじ】,@raigalilei,55200,406,1601705,188036,3215,3945.0862068965516,463.14285714285717,7.91871921182266
UCBiqkFJljoxAj10SoP2w2Cg,文野環【にじさんじの野良猫】ふみのたまき,@fuminotamaki,423000,686,63836978,2841616,78276,93056.8192419825,4142.297376093295,114.10495626822157
UCge_6FJHyeOCxRtWCmaVTAQ,Fuyumi Celestia【MAHA5】,@fuyumicelestiach,231000,430,9343795,770114,41908,21729.75581395349,1790.9627906976743,97.46046511627907
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru Ch. hololive-ID,@kobokanaeru,2740000,595,235299235,10893915,328278,395460.8991596639,18309.100840336134,551.727731092437
UCD-miitqNY3nyukJ4Fnf4_A,月ノ美兎,@tsukinomito,1460000,1001,624243586,20831442,396792,623619.966033966,20810.63136863137,396.3956043956044
UCXTpFs_3PqI41qX2d9tL2Rw,Shion Ch. 紫咲シオン,@murasakishion,1330000,632,249247281,9194556,128569,394378.6091772152,14548.348101265823,203.43196202531647
UCOyYb1c43VlX9rc_lT6NKQw,Ayunda Risu Ch. hololive-ID,@ayundarisu,976000,1278,86975386,9655657,254016,68055.85758998436,7555.287167449139,198.7605633802817
UC727SQYUvx5pDDGQpTICNWg,Anya Melfissa Ch. hololive-ID,@anyamelfissa,771000,1017,43271931,5493079,47472,42548.604719764015,5401.257620452311,46.67846607669617
UCg7sW-h1PUowdiR5K4HlBew,Lia Ch.【Phase Connect】,@rinkouashelia,129000,837,11074807,1072368,24674,13231.549581839905,1281.2043010752689,29.479091995221026
UChgTyjG-pdNvxxhdsXfHQ5Q,Pavolia Reine Ch. hololive-ID,@pavoliareine,842000,1620,82304257,8288024,96436,50805.096913580244,5116.0641975308645,59.528395061728396
UC0g1AE0DOjBYnLhkgoRWN1w,本間ひまわり - Himawari Honma -,@honmahimawari,773000,2223,306631597,9633810,167053,137935.94107062527,4333.697705802969,75.14754835807467
UCoSrY_IQQVpmIRZ9Xf-y93g,Gawr Gura Ch. hololive-EN,@gawrgura,4690000,493,459423680,23427106,535444,931893.8742393509,47519.48478701826,1086.0933062880324
UCtNeQ8cUwvAAhBbVbwfGWpg,Apricot (Froot),@apricotfroot,244000,71,15221756,626958,14888,214390.9295774648,8830.394366197183,209.69014084507043
UC8D3XmwYEr97q-tuNZjUuww,Gingitsune Gehenna【AKA Virtual】,@gingehenna,750000,888,56327450,5411180,84265,63431.81306306306,6093.671171171171,94.89301801801801
UCt9H_RpQzhxzlyBxFqrdHqA,FUWAMOCO Ch. hololive-EN,@fuwamococh,1260000,809,127743615,10118623,142299,157903.108776267,12507.568603213844,175.89493201483313
UCgwZmQZC7O-TP1Xbnz50VtQ,Daisy Ignacia Y【MAHA5】,@daisyignaciaych,47500,456,2103648,141713,3073,4613.263157894737,310.77412280701753,6.739035087719298
UCK4t1P3Aqqe6NDyRS92Opcg,Alia Adelia【MAHA5】,@aliaadeliach,588000,1009,53063766,4054806,287171,52590.45193260654,4018.6382556987114,284.60951437066404
UCHP4f7G2dWD4qib7BMatGAw,Gavis Bettel Ch. HOLOSTARS-EN,@gavisbettel,197000,879,24582023,2234945,42401,27965.896473265075,2542.599544937429,48.237770193401595
UCUKD-uaobj9jiqB-VXt71mA,Botan Ch.獅白ぼたん,@shishirobotan,1550000,1400,288938673,15902086,137043,206384.76642857143,11358.632857142857,97.88785714285714
UCoztvTULBYd3WmStqYeoHcA,笹木咲 / Sasaki Saku,@sasakisaku,940000,1496,266259530,8435183,132157,177980.9692513369,5638.491310160428,88.34024064171123
UCnS5IYNyGKOti9cFlK5SefQ,Michi Mochievee,@michimochievee,209000,296,14533406,1013185,28262,49099.34459459459,3422.9222972972975,95.47972972972973
UCvInZx9h3jC2JzsIzoOebWg,Flare Ch. 不知火フレア,@shiranuiflare,1140000,1643,213574880,13369585,95821,129990.797321972,8137.300669507,58.320754716981135
UCNf5FVGkl1Tv4A-N2fMN20Q,Viyushi Winko【AKA Virtual】,@viyushiwinko,13700,66,147558,12116,604,2235.7272727272725,183.57575757575756,9.151515151515152
UCdyqAaZDKHXg4Ahi7VENThQ,Noel Ch. 白銀ノエル,@shiroganenoel,2040000,1454,402260376,15979367,171191,276657.7551581843,10989.936038514443,117.73796423658872
UCZgOv3YDEs-ZnZWDYVwJdmA,Izuru Ch. 奏手イヅル,@kanadeizuru,254000,768,25268584,1435649,19023,32901.802083333336,1869.3346354166667,24.76953125
UCp6993wxpyDPHUpavwDFqgg,SoraCh. ときのそらチャンネル,@tokinosora,1310000,1718,237334463,14953527,222433,138145.7875436554,8704.032013969732,129.47206053550642
UCmovZ2th3Sqpd00F5RdeigQ,加賀美 ハヤト/Hayato Kagami,@kagamihayato,925000,1504,333339810,8670242,108090,221635.5119680851,5764.788563829788,71.86835106382979
